current_10460_mA,intensity_10460,wavelength_10460_nm,current_11453_mA,intensity_11453,wavelength_11453_nm,current_12558_mA,intensity_12558,wavelength_12558_nm,current_13785_mA,intensity_13785,wavelength_13785_nm,current_15153_mA,intensity_15153,wavelength_15153_nm
12,1891.25,788.00974476375,12,1921.95,787.334807078638,12,1599.1,785.410897543002,12,1697.25,784.473373174706,12,1858.4,783.795634289245
13,2040.2,788.061640838474,13,3002.2,787.386744395398,13,1784.7,786.19138385482,13,1906.8,784.733899526789,13,2221.5,784.0563663932061
14,2614,788.3210736117751,14,2867.75,787.646383399715,14,1944.6,786.451387508253,14,2036.1,784.473373174706,14,2235.15,784.0563663932061
15,3284.6,788.5804270414191,15,4122.95,787.386744395398,15,4087.95,786.711311914175,15,2196.8,784.525484777232,15,2477.95,784.108503319466
16,3930.85,788.5804270414191,16,4326.15,787.9059430950929,16,4789,786.763287284483,16,2489.8,785.3067788415719,16,2330,783.847787039369
17,4177.3,788.5804270414191,17,5116.95,787.9059430950929,17,3917,787.023116575766,17,2425.9,785.3067788415719,17,2782.75,784.3691404722391
18,5028.55,788.8915464045599,18,5065.55,787.9059430950929,18,3377.1,787.023116575766,18,2240.65,785.619096931842,18,3231.45,784.3691404722391
19,7224.05,788.8915464045599,19,6682.8,788.217310022946,19,3051.8,787.023116575766,19,2791.9,785.3588397761149,19,2863.45,784.6296984843331
20,7666.55,788.8915464045599,20,7967.15,788.217310022946,20,8448.35,787.282866590161,20,2898.4,785.879274882791,20,3647.85,784.6296984843331
