Wavelength,IntensityFactor
863.964,1663.05
863.917,1669.85
863.87,1681.05
863.823,1672.2
863.776,1671.65
863.729,1658.7
863.682,1675.35
863.635,1635.7
863.589,1664.2
863.542,1653.15
863.495,1662.85
863.448,1657.1
863.401,1667.45
863.354,1681.4
863.307,1684.05
863.26,1687.95
863.213,1667.35
863.166,1652.6
863.119,1669.35
863.072,1677.95
863.025,1656.8
862.978,1646.15
862.931,1684.55
862.884,1654.3
862.837,1666.1
862.79,1672.6
862.743,1668.75
862.696,1665.65
862.649,1675.8
862.602,1649.55
862.555,1659.15
862.508,1651.15
862.461,1649.05
862.414,1666
862.367,1637.7
862.32,1663.45
862.273,1669.05
862.226,1651.5
862.179,1663.65
862.132,1639.6
862.085,1654.95
862.038,1656.85
861.991,1658.85
861.944,1659.3
861.897,1682.25
861.85,1666.15
861.803,1656
861.756,1668.35
861.709,1655.3
861.662,1656.85
861.615,1666.1
861.568,1659.85
861.521,1665.7
861.474,1643.4
861.427,1647.2
861.38,1659.5
861.332,1664.4
861.285,1670.7
861.238,1685.5
861.191,1654.2
861.144,1676.8
861.097,1667.25
861.05,1673.25
861.003,1669.9
860.956,1672.3
860.909,1713.2
860.861,1669.15
860.814,1662.3
860.767,1647.25
860.72,1636.85
860.673,1679.1
860.626,1661.25
860.579,1643.65
860.532,1653.05
860.484,1657.85
860.437,1669.85
860.39,1654.8
860.343,1683
860.296,1662.1
860.249,1655.9
860.202,1658.8
860.154,1649.7
860.107,1663
860.06,1653
860.013,1669.7
859.966,1653.9
859.919,1647.8
859.871,1671.75
859.824,1662.4
859.777,1658.9
859.73,1670.45
859.683,1651.05
859.635,1673.15
859.588,1658.55
859.541,1659.8
859.494,1658.4
859.447,1686.05
859.399,1667.05
859.352,1674.6
859.305,1667.1
859.258,1665.85
859.21,1656.55
859.163,1653.15
859.116,1674.3
859.069,1659.85
859.021,1660.45
858.974,1658
858.927,1657.6
858.88,1647.65
858.832,1660.9
858.785,1662.55
858.738,1655.45
858.691,1663.7
858.643,1655.4
858.596,1674
858.549,1664
858.502,1722.3
858.454,1671.15
858.407,1644.15
858.36,1662.55
858.312,1644.8
858.265,1655.75
858.218,1648.75
858.171,1639.2
858.123,1646.25
858.076,1673.8
858.029,1677.15
857.981,1654.75
857.934,1686.35
857.887,1664.7
857.839,1643.05
857.792,1680.95
857.745,1672.85
857.697,1671.55
857.65,1667.75
857.603,1655.1
857.555,1656.4
857.508,1658.8
857.461,1652.3
857.413,1653.9
857.366,1648.3
857.319,1662.65
857.271,1657.35
857.224,1647.1
857.176,1666.25
857.129,1670.75
857.082,1656
857.034,1681.2
856.987,1673.35
856.94,1678.5
856.892,1679.95
856.845,1670.6
856.797,1673.1
856.75,1656.55
856.703,1659.2
856.655,1645.05
856.608,1670.3
856.56,1638.95
856.513,1648.95
856.465,1661.55
856.418,1667.65
856.371,1673.3
856.323,1659.65
856.276,1664.65
856.228,1678.6
856.181,1676.9
856.133,1696.2
856.086,1705.7
856.039,1647.5
855.991,1664.75
855.944,1654.3
855.896,1674.65
855.849,1655.95
855.801,1661.2
855.754,1651
855.706,1670.3
855.659,1667.6
855.611,1668.05
855.564,1658.3
855.516,1665.35
855.469,1680.4
855.421,1675.4
855.374,1676.4
855.326,1668.4
855.279,1657.25
855.231,1631.5
855.184,1660.4
855.136,1656.65
855.089,1661.2
855.041,1650.1
854.994,1642.65
854.946,1672.05
854.899,1640.85
854.851,1666.95
854.804,1664
854.756,1667.95
854.709,1668.55
854.661,1648.7
854.613,1662.6
854.566,1670.3
854.518,1665.6
854.471,1675.8
854.423,1658.75
854.376,1674.35
854.328,1642.95
854.28,1665.9
854.233,1655.05
854.185,1658.55
854.138,1666.85
854.09,1671.5
854.043,1676.15
853.995,1662.95
853.947,1668
853.9,1651.35
853.852,1656.8
853.805,1671.95
853.757,1676.2
853.709,1690.8
853.662,1708.2
853.614,1651.95
853.566,1668.3
853.519,1649.45
853.471,1652
853.424,1674.3
853.376,1667.05
853.328,1664.4
853.281,1666.65
853.233,1686.6
853.185,1664.6
853.138,1689.65
853.09,1680.4
853.042,1661.85
852.995,1688.15
852.947,1669.95
852.899,1672.9
852.852,1664.3
852.804,1662.15
852.756,1647.55
852.709,1666.45
852.661,1668.7
852.613,1657.15
852.566,1669.15
852.518,1652.7
852.47,1670.55
852.422,1647.7
852.375,1657.6
852.327,1659.95
852.279,1665.75
852.232,1657.55
852.184,1669.65
852.136,1662.35
852.088,1651.15
852.041,1644.3
851.993,1660.65
851.945,1661.2
851.897,1655.4
851.85,1645.2
851.802,1664.35
851.754,1663.4
851.706,1649.9
851.659,1656.1
851.611,1678.8
851.563,1664.3
851.515,1688.95
851.468,1653.15
851.42,1680.35
851.372,1669.45
851.324,1662.25
851.277,1663.85
851.229,1691.05
851.181,1652
