Wavelength,IntensityFactor
863.917,1660.35
863.87,1674
863.823,1670.55
863.776,1663.15
863.729,1651.55
863.682,1660.15
863.635,1666.35
863.589,1675.7
863.542,1659.6
863.495,1672.75
863.448,1679.25
863.401,1650.9
863.354,1676.15
863.307,1738.2
863.26,1643.95
863.213,1665
863.166,1664.15
863.119,1657.05
863.072,1655.35
863.025,1646.9
862.978,1675.45
862.931,1650.7
862.884,1670.65
862.837,1654.35
862.79,1653.05
862.743,1680.8
862.696,1678.35
862.649,1671.15
862.602,1663.35
862.555,1673.25
862.508,1662.75
862.461,1665.15
862.414,1675.75
862.367,1656.7
862.32,1655.3
862.273,1670.8
862.226,1670.05
862.179,1682.95
862.132,1679.4
862.085,1660.35
862.038,1653.1
861.991,1656.5
861.944,1638.6
861.897,1674.6
861.85,1668.95
861.803,1665.65
861.756,1682.45
861.709,1668.55
861.662,1669.2
861.615,1671.65
861.568,1669
861.521,1688
861.474,1652.45
861.427,1656.9
861.38,1670.55
861.332,1662.7
861.285,1638.2
861.238,1669
861.191,1666.45
861.144,1655.6
861.097,1669.15
861.05,1683
861.003,1668.4
860.956,1658.05
860.909,1722.2
860.861,1635.55
860.814,1665
860.767,1650.65
860.72,1657.05
860.673,1656.65
860.626,1668
860.579,1672.85
860.532,1659.8
860.484,1682.8
860.437,1677.6
860.39,1678.85
860.343,1681.85
860.296,1658.65
860.249,1661.5
860.202,1670.45
860.154,1665.15
860.107,1649.2
860.06,1666.15
860.013,1669.05
859.966,1657.65
859.919,1633.95
859.871,1667.25
859.824,1681.65
859.777,1662.1
859.73,1672.1
859.683,1654.75
859.635,1682.5
859.588,1665.3
859.541,1669.95
859.494,1668.15
859.447,1674.1
859.399,1666
859.352,1668.1
859.305,1670
859.258,1670.65
859.21,1662.1
859.163,1677.4
859.116,1667.2
859.069,1654.5
859.021,1670.95
858.974,1673.45
858.927,1659
858.88,1671.45
858.832,1649.5
858.785,1665.2
858.738,1657.85
858.691,1676.3
858.643,1674.6
858.596,1675.2
858.549,1655.85
858.502,1735.2
858.454,1658.85
858.407,1663.05
858.36,1643.5
858.312,1652.65
858.265,1674.7
858.218,1660.85
858.171,1660.95
858.123,1672.3
858.076,1651.05
858.029,1666.75
857.981,1674.45
857.934,1679.4
857.887,1683.75
857.839,1681.55
857.792,1657.05
857.745,1660.85
857.697,1657.65
857.65,1674.95
857.603,1678.05
857.555,1681.65
857.508,1674.45
857.461,1672.75
857.413,1658.5
857.366,1675.6
857.319,1670.2
857.271,1664.35
857.224,1653.7
857.176,1679.2
857.129,1668
857.082,1656.15
857.034,1679.1
856.987,1689.1
856.94,1659.55
856.892,1673.55
856.845,1672.6
856.797,1682.4
856.75,1684.55
856.703,1665.95
856.655,1669.15
856.608,1666.8
856.56,1641.2
856.513,1650.1
856.465,1654.85
856.418,1646.55
856.371,1660.8
856.323,1667.65
856.276,1651.8
856.228,1671.55
856.181,1675.05
856.133,1656.25
856.086,1697.75
856.039,1658.3
855.991,1677.9
855.944,1657.2
855.896,1664.8
855.849,1671.95
855.801,1674.9
855.754,1682.15
855.706,1686.6
855.659,1688.05
855.611,1673.1
855.564,1671
855.516,1679.5
855.469,1677.75
855.421,1663.15
855.374,1684.65
855.326,1652.3
855.279,1672
855.231,1659.75
855.184,1671.65
855.136,1653.3
855.089,1658.1
855.041,1685.1
854.994,1679.55
854.946,1661.4
854.899,1671.25
854.851,1670.9
854.804,1678
854.756,1673.15
854.709,1676.8
854.661,1662.05
854.613,1679.6
854.566,1656.45
854.518,1680.6
854.471,1651.35
854.423,1684.6
854.376,1677.6
854.328,1668.85
854.28,1659.65
854.233,1671.2
854.185,1675.15
854.138,1664.75
854.09,1689.65
854.043,1680.85
853.995,1663.1
853.947,1667
853.9,1681.6
853.852,1671.5
853.805,1670.85
853.757,1658.55
853.709,1678.6
853.662,1646.8
853.614,1676
853.566,1648.35
853.519,1648.8
853.471,1666.85
853.424,1676.3
853.376,1671.15
853.328,1674.4
853.281,1669.15
853.233,1665.7
853.185,1669.25
853.138,1694.05
853.09,1682.9
853.042,1666.9
852.995,1657.35
852.947,1676.2
852.899,1680.05
852.852,1675.25
852.804,1678.35
852.756,1673.6
852.709,1675.9
852.661,1669.65
852.613,1670.95
852.566,1671.05
852.518,1673.3
852.47,1665.2
852.422,1666.6
852.375,1663.9
852.327,1663.95
852.279,1671.2
852.232,1663.3
852.184,1680.05
852.136,1674.45
852.088,1670.3
852.041,1670.6
851.993,1682.15
851.945,1683.3
851.897,1666.1
851.85,1678.05
851.802,1661
851.754,1675.65
851.706,1672.45
851.659,1667.95
851.611,1687.4
851.563,1667.7
851.515,1669.2
851.468,1672.9
851.42,1665.8
851.372,1653.2
851.324,1666.55
851.277,1696.8
851.229,1662.5
851.181,1686.65
851.133,1669.8
851.085,1665.4
851.038,1685.1
850.99,1672.2
850.942,1655.8
850.894,1675.35
850.846,1650.75
850.799,1677.85
850.751,1652.2
850.703,1677.1
850.655,1690.3
850.607,1664.8
850.559,1659.6
850.512,1690.05
850.464,1675.25
850.416,1674.2
850.368,1668.8
850.32,1673.35
850.272,1673.45
850.224,1678.35
850.177,1660.4
850.129,1666.65
850.081,1665
850.033,1677.85
849.985,1681.4
849.937,1670.25
849.889,1670
849.842,1653.1
849.794,1671.35
849.746,1675.2
849.698,1667.2
849.65,1672.8
849.602,1675.3
849.554,1663.9
849.506,1666.95
849.458,1690.95
849.41,1677.15
849.363,1694.25
849.315,1659.65
849.267,1672.3
849.219,1659.75
849.171,1686.65
849.123,1657.35
849.075,1666.95
849.027,1684.4
848.979,1680.75
848.931,1663.2
848.883,1657.75
848.835,1646.3
848.787,1671.35
848.739,1660.55
848.691,1658.6
848.643,1652.2
848.595,1675.9
848.547,1658.45
848.499,1665.05
848.452,1684.5
848.404,1681.6
848.356,1673.3
848.308,1661.4
848.26,1696.45
848.212,1678.15
848.164,1673.95
848.116,1667.75
848.068,1664.55
848.02,1683.3
847.972,1647.9
847.924,1672.8
847.876,1665.4
847.827,1661.45
847.779,1670.3
847.731,1661
847.683,1658.8
847.635,1678.35
847.587,1667.15
847.539,1683.4
847.491,1678.8
